#OTU ID	SRR2533834	SRR2533846	SRR2533860	SRR2533882	SRR2533894	SRR2533897	SRR2533904	SRR2533911	SRR2533919	SRR2533933	SRR2533949	SRR2533979	SRR2533985	SRR2534007	SRR2534013	SRR2534024	SRR2534037	SRR2534046	SRR2534057
OTU_330	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
OTU_331	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
OTU_332	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
OTU_333	0	0	0	0	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0
OTU_334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
OTU_335	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_336	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_337	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
OTU_338	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
OTU_339	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
OTU_34	0	10	0	0	0	0	0	0	2848	2075	161	0	265	0	0	403	57	223	138
OTU_340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
OTU_341	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
OTU_342	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU_343	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_344	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_345	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_346	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
OTU_347	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_348	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_349	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_35	2639	0	0	22	0	0	0	0	0	0	0	1270	0	0	0	0	8	0	0
OTU_350	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_36	0	0	0	58	3510	0	116	0	0	1401	0	0	18	323	0	0	0	0	0
OTU_37	0	0	0	5121	0	0	0	0	0	0	8	0	0	2305	0	0	0	0	0
OTU_38	0	0	0	0	0	0	0	0	2608	0	0	0	0	0	0	0	0	0	0
OTU_39	0	0	0	0	0	0	0	0	2580	0	0	0	0	0	0	0	0	0	0
OTU_4	0	0	0	0	0	0	3	0	174521	3983	282	0	731	0	0	43	0	0	0
OTU_40	0	0	0	1120	5	0	0	0	0	2904	0	0	0	0	0	0	0	0	0
OTU_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2374	0
OTU_42	0	0	0	0	0	0	0	0	2350	0	0	0	0	0	0	0	0	0	0
OTU_43	0	0	0	3641	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0
OTU_44	0	0	0	0	0	0	0	0	2199	0	0	0	0	0	0	0	0	0	0
OTU_45	0	0	0	0	0	0	0	0	0	2216	0	0	0	0	0	0	0	0	0
OTU_46	0	0	0	0	0	0	0	0	2996	0	0	0	0	0	0	0	0	0	0
OTU_47	0	0	0	2262	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0
OTU_48	0	0	0	132	0	0	0	0	0	1956	0	0	0	0	0	0	0	0	0
OTU_49	0	0	0	0	0	0	0	0	1804	0	192	0	138	0	0	177	0	0	0
OTU_5	0	7	13	0	204840	0	1608	0	460	2478	0	0	18	1236	0	0	0	0	0
OTU_50	0	65	0	17	0	0	0	0	1795	583	161	0	133	0	0	325	1618	1193	333
